Id,Prediction
0,good
1,bad
2,good
3,good
4,good
5,good
6,good
7,good
8,good
9,good
10,bad
11,good
12,good
13,good
14,good
15,good
16,good
17,good
18,good
19,good
20,good
21,good
22,good
23,good
24,good
25,good
26,bad
27,good
28,good
29,good
30,good
31,good
32,bad
33,good
34,good
35,good
36,bad
37,good
38,good
39,good
40,good
41,good
42,good
43,good
44,good
45,good
46,bad
47,good
48,good
49,good
50,good
51,good
52,bad
53,bad
54,bad
55,good
56,bad
57,good
58,good
59,bad
60,good
61,good
62,good
63,good
64,good
65,good
66,good
67,good
68,good
69,good
70,good
71,good
72,good
73,good
74,good
75,good
76,good
77,good
78,good
79,bad
80,good
81,good
82,good
83,good
84,good
85,good
86,bad
87,good
88,good
89,good
90,bad
91,good
92,good
93,good
94,bad
95,bad
96,good
97,good
98,good
99,good
100,good
101,good
102,good
103,good
104,good
105,good
106,good
107,bad
108,good
109,good
110,bad
111,good
112,good
113,good
114,good
115,good
116,good
117,good
118,good
119,good
120,good
121,good
122,good
123,good
124,good
125,good
126,good
127,good
128,good
129,good
130,good
131,good
132,good
133,good
134,good
135,good
136,good
137,good
138,good
139,good
140,good
141,good
142,good
143,good
144,good
145,good
146,good
147,bad
148,good
149,bad
150,good
151,good
152,bad
153,good
154,bad
155,neutral
156,good
157,good
158,good
159,good
160,good
161,bad
162,bad
163,good
164,good
165,good
166,bad
167,good
168,good
169,good
170,bad
171,bad
172,good
173,good
174,good
175,good
176,bad
177,good
178,good
179,bad
180,good
181,good
182,good
183,good
184,bad
185,good
186,good
187,good
188,bad
189,bad
190,good
191,good
192,good
193,good
194,good
195,good
196,good
197,good
198,good
199,good
200,good
201,good
202,bad
203,good
204,good
205,good
206,good
207,bad
208,good
209,good
210,good
211,bad
212,good
213,bad
214,good
215,good
216,good
217,good
218,bad
219,bad
220,good
221,good
222,good
223,good
224,good
225,good
226,good
227,good
228,good
229,bad
230,good
231,bad
232,good
233,good
234,bad
235,good
236,good
237,good
238,good
239,bad
240,good
241,good
242,bad
243,bad
244,bad
245,good
246,good
247,good
248,bad
249,good
250,good
251,good
252,good
253,good
254,good
255,good
256,good
257,good
258,good
259,good
260,good
261,good
